Sample,(P1) Function Signature Insertion,(P2) Import Insertion,(P3) Function Insertion,(P4) Function Body Cloning,(P5) Global Insertion,(P6) Element Insertion,(P7) E-port Insertion,(P8) Data Insertion,(P9) Data Encryption,(P10) Custom Section Insertion,(P11) NOP Insertion,(P12) Stack Operation Insertion - Memory,(P12) Stack Operation Insertion - Numeric,(P12) Stack Operation Insertion - Bitwise,(P12) Stack Operation Insertion - Conversion,(P12) Stack Operation Insertion - Interpretation,(P12) Stack Operation Insertion - Utility,(P13) Opaque Predicate Insertion,(P14) Pro-y Function Insertion,(P15) Direct to Indirect Call Transformation,(P16) Sub->Add Operation Transformation,(P16) Add->Sub Operation Transformation,(P17) Shift Operation Transformation,(P18) Eqz Operation Transformation,(P19) Offset E-pansion,(P20) Transforming -OR to MBA,(P20) Transforming OR to MBA,(P21) Constant Value Splitting,(P22) Constant Value Transformation
57763924,-,-,60,40,-,-,-,30,20,20,100,20,10,10,10,10,10,60,20,-,-,-,-,-,-,30,100,100,40
97258773,-,-,50,10,-,-,-,20,30,20,90,20,10,20,20,10,10,-,40,-,-,-,-,-,-,60,60,100,40
046dc081,-,-,90,20,-,-,-,10,30,40,-,20,10,10,10,20,10,80,20,-,-,-,-,-,-,70,-,-,10
1040bab3,-,-,10,10,-,-,-,20,20,10,-,10,10,10,10,10,10,10,10,-,-,-,-,-,-,10,10,10,10
14bc804f,-,-,50,10,-,-,-,10,20,20,-,10,10,10,10,10,10,30,40,-,-,-,-,-,-,70,90,30,10
15b86a25,-,-,50,30,-,-,-,10,10,20,-,30,10,20,20,10,10,60,30,-,-,-,-,-,-,60,-,-,30
23b65971,-,-,20,30,-,-,-,10,30,40,-,20,10,10,10,10,10,60,20,-,-,-,-,-,-,40,-,-,30
34f3d4ba,-,-,90,20,-,-,-,40,30,40,-,40,10,20,10,10,10,80,30,-,-,-,-,-,-,80,-,-,30
38d0e89e,-,-,-,10,-,-,-,30,50,20,-,40,10,20,20,10,10,-,30,-,-,-,-,-,-,60,-,-,20
3f5961a8,-,-,60,30,-,-,-,10,10,20,-,30,10,20,20,10,10,-,30,-,-,-,-,-,-,90,-,-,30
47d29959,-,-,60,30,-,-,-,10,30,40,-,20,10,10,10,10,10,60,20,-,-,-,80,-,-,70,-,100,30
483eea72,-,-,30,10,-,-,-,20,30,20,-,10,10,10,10,10,10,70,40,-,-,-,-,-,-,30,40,50,30
489ba8af,-,-,50,10,-,-,-,10,20,40,-,20,10,10,10,10,10,60,20,-,-,-,100,-,-,70,-,90,20
5071322d,-,-,20,40,-,-,-,10,20,20,-,30,10,20,10,10,10,50,30,-,-,-,-,-,-,80,-,-,30
5cb9a104,-,-,20,10,-,-,-,30,20,20,90,20,10,10,10,20,10,-,30,-,-,-,-,-,-,50,100,70,30
718ae4d9,-,-,30,30,-,-,-,-,-,10,-,20,10,10,10,10,10,40,20,-,-,-,-,-,-,20,70,-,30
7cf3ef50,-,-,80,40,-,-,-,10,50,10,-,20,10,10,10,10,10,60,30,-,-,-,-,-,-,70,-,100,40
89a3645c,-,-,60,10,-,-,-,30,20,10,-,20,10,10,10,10,10,60,20,-,-,-,-,-,-,30,-,-,10
8c1f5a76,-,-,50,10,-,-,-,20,20,10,-,10,10,10,10,10,10,60,10,-,-,-,-,-,-,10,-,-,10
8ebf4e44,-,-,30,30,-,-,-,20,40,20,-,20,10,10,10,10,10,60,40,-,-,-,100,-,-,60,-,100,30
942be4f7,-,-,60,10,-,-,-,10,20,20,-,10,10,10,10,10,10,30,40,-,-,-,-,-,-,70,-,-,10
9d30e7f0,-,-,40,40,-,-,-,10,10,30,-,20,10,10,10,10,10,60,20,-,-,-,-,-,-,70,-,100,30
9f84e5c3,-,-,50,30,-,-,-,10,10,10,-,20,10,10,10,10,10,30,20,-,-,-,-,-,-,40,90,30,30
9fdea7a2,-,-,40,20,-,-,-,10,40,20,-,10,10,10,10,10,10,90,30,-,-,-,-,-,-,50,90,60,30
afd034f6,-,-,50,20,-,-,-,10,60,40,-,20,10,10,10,20,10,60,20,-,-,-,-,-,-,80,-,-,10
bb8087b6,-,-,60,10,-,-,-,10,30,10,100,20,10,10,10,10,10,-,10,-,-,-,-,-,-,30,50,60,20
bc2b3cf3,-,-,50,20,-,-,-,10,40,60,-,10,10,10,10,10,10,30,10,-,-,-,-,-,-,50,90,70,20
c09dc318,-,-,40,50,-,-,-,10,20,40,-,30,20,20,10,10,10,60,40,-,-,-,-,-,-,70,-,-,20
c54acc16,-,-,90,30,-,-,-,10,30,30,-,30,10,20,20,10,10,-,30,-,-,-,-,-,-,70,-,-,40
c9085853,-,-,-,20,-,-,-,10,20,10,-,40,20,20,20,10,20,50,10,-,-,-,-,-,-,80,-,-,20
cbd97fb3,-,-,80,40,-,-,-,10,20,20,-,50,10,20,20,20,20,50,40,-,-,-,-,-,-,70,-,-,40
cfb676c3,-,-,60,50,-,-,-,10,30,50,-,20,10,20,10,10,10,60,40,-,-,-,-,-,-,70,-,-,20
d2141ff2,-,-,20,20,-,-,-,40,20,40,-,20,10,20,10,10,10,40,30,-,-,-,-,-,-,80,-,-,30
d4538356,-,-,70,20,-,-,-,-,-,20,-,20,10,10,10,10,10,90,20,-,-,-,-,-,-,20,40,-,10
dc11d82d,-,-,90,40,-,-,-,10,50,20,-,30,10,10,10,10,10,70,40,-,-,-,-,-,-,80,-,-,10
e02a7988,-,-,-,30,-,-,-,10,30,30,-,40,20,20,20,20,10,50,50,-,-,-,-,-,-,80,-,-,50
e09c32c5,-,-,20,30,-,-,-,10,20,20,-,20,10,10,10,10,10,60,20,-,-,-,-,-,-,30,-,-,40
e1aa8061,-,-,10,30,-,-,-,10,30,30,-,40,20,20,20,20,10,50,50,-,-,-,-,-,-,50,-,-,50
ed7019bc,-,-,60,40,-,-,-,10,20,20,-,30,10,20,10,10,10,50,30,-,-,-,-,-,-,80,-,-,30
efc7f440,-,-,10,10,-,-,-,20,20,10,-,10,10,10,10,10,10,60,10,-,-,-,-,-,-,10,10,10,10
f702aa92,-,-,60,30,-,-,-,10,20,40,-,20,10,10,10,10,10,30,30,-,-,-,-,-,-,50,90,60,10
fcc7c92b,-,-,20,10,-,-,-,-,-,10,-,30,10,10,10,10,10,40,20,-,-,-,-,-,-,40,-,-,10
fd472bd0,-,-,40,20,-,-,-,10,20,20,-,20,10,10,10,10,10,60,40,-,-,-,100,-,-,70,-,100,10
